TRIALNO,COST_WEIGHT,RISK_WEIGHT,DISTANCE_WEIGHT,SPEED_WEIGHT,POP_WEIGHT,HEU_WEIGHT,TOTAL_POP,ROAD_DEATH_PROB,
752,1.30,0.50,0.10,0.10,0.10,0.000000052,1000,0.00,
771,1.30,0.70,0.10,0.10,0.10,0.000000052,1000,0.00,
781,1.30,0.80,0.10,0.10,0.10,0.000000052,1000,0.00,
791,1.30,0.90,0.10,0.10,0.10,0.000000052,1000,0.00,
782,1.30,0.80,0.10,0.10,0.10,0.000000052,1000,0.00,
7102,1.30,1.00,0.10,0.10,0.10,0.000000052,1000,0.00,
7112,1.30,1.10,0.10,0.10,0.10,0.000000052,1000,0.00,
772,1.30,0.70,0.10,0.10,0.10,0.000000052,1000,0.00,
7111,1.30,1.10,0.10,0.10,0.10,0.000000052,1000,0.00,
7101,1.30,1.00,0.10,0.10,0.10,0.000000052,1000,0.00,
792,1.30,0.90,0.10,0.10,0.10,0.000000052,1000,0.00,
7122,1.30,1.20,0.10,0.10,0.10,0.000000052,1000,0.00,
7131,1.30,1.30,0.10,0.10,0.10,0.000000052,1000,0.00,
7142,1.30,1.40,0.10,0.10,0.10,0.000000052,1000,0.00,
7121,1.30,1.20,0.10,0.10,0.10,0.000000052,1000,0.00,
7151,1.30,1.50,0.10,0.10,0.10,0.000000052,1000,0.00,
7141,1.30,1.40,0.10,0.10,0.10,0.000000052,1000,0.00,
7152,1.30,1.50,0.10,0.10,0.10,0.000000052,1000,0.00,
7161,1.30,1.60,0.10,0.10,0.10,0.000000052,1000,0.00,
7162,1.30,1.60,0.10,0.10,0.10,0.000000052,1000,0.00,
7171,1.30,1.70,0.10,0.10,0.10,0.000000052,1000,0.00,
7132,1.30,1.30,0.10,0.10,0.10,0.000000052,1000,0.00,
7182,1.30,1.80,0.10,0.10,0.10,0.000000052,1000,0.00,
7191,1.30,1.90,0.10,0.10,0.10,0.000000052,1000,0.00,
7201,1.30,2.00,0.10,0.10,0.10,0.000000052,1000,0.00,
7172,1.30,1.70,0.10,0.10,0.10,0.000000052,1000,0.00,
7192,1.30,1.90,0.10,0.10,0.10,0.000000052,1000,0.00,
7202,1.30,2.00,0.10,0.10,0.10,0.000000052,1000,0.00,
7181,1.30,1.80,0.10,0.10,0.10,0.000000052,1000,0.00,
831,1.20,0.30,0.10,0.10,0.10,0.000000052,1000,0.00,
842,1.20,0.40,0.10,0.10,0.10,0.000000052,1000,0.00,
862,1.20,0.60,0.10,0.10,0.10,0.000000052,1000,0.00,
811,1.20,0.10,0.10,0.10,0.10,0.000000052,1000,0.00,
801,1.20,0.00,0.10,0.10,0.10,0.000000052,1000,0.00,
812,1.20,0.10,0.10,0.10,0.10,0.000000052,1000,0.00,
852,1.20,0.50,0.10,0.10,0.10,0.000000052,1000,0.00,
822,1.20,0.20,0.10,0.10,0.10,0.000000052,1000,0.00,
832,1.20,0.30,0.10,0.10,0.10,0.000000052,1000,0.00,
8122,1.20,1.20,0.10,0.10,0.10,0.000000052,1000,0.00,
8121,1.20,1.20,0.10,0.10,0.10,0.000000052,1000,0.00,
8111,1.20,1.10,0.10,0.10,0.10,0.000000052,1000,0.00,
872,1.20,0.70,0.10,0.10,0.10,0.000000052,1000,0.00,
8151,1.20,1.50,0.10,0.10,0.10,0.000000052,1000,0.00,
892,1.20,0.90,0.10,0.10,0.10,0.000000052,1000,0.00,
882,1.20,0.80,0.10,0.10,0.10,0.000000052,1000,0.00,
8162,1.20,1.60,0.10,0.10,0.10,0.000000052,1000,0.00,
8181,1.20,1.80,0.10,0.10,0.10,0.000000052,1000,0.00,
8171,1.20,1.70,0.10,0.10,0.10,0.000000052,1000,0.00,
8102,1.20,1.00,0.10,0.10,0.10,0.000000052,1000,0.00,
8172,1.20,1.70,0.10,0.10,0.10,0.000000052,1000,0.00,
8142,1.20,1.40,0.10,0.10,0.10,0.000000052,1000,0.00,
901,1.10,0.00,0.10,0.10,0.10,0.000000052,1000,0.00,
8182,1.20,1.80,0.10,0.10,0.10,0.000000052,1000,0.00,
8152,1.20,1.50,0.10,0.10,0.10,0.000000052,1000,0.00,
